ref,Chargescomprises:,Classeénergie:,Codepostal:,GES:,Loyermensuel:,Meublé/Nonmeublé:,Pièces:,Référence:,Surface:,Typedebien:,Ville:,ref
706598081,Non,,35000,,650.0,Non meublé,3,,60 m,Appartement,Rennes,706598081
709557386,,B (de 51 &agrave; 90),35000,B (de 6 &agrave; 10),618.0,Non meublé,2,,49 m,Appartement,Rennes,709557386
709542404,,,35000,,815.0,Non meublé,,,80 m,Appartement,Rennes,709542404
709541593,,,35000,,538.0,Non meublé,2,,42 m,Appartement,Rennes,709541593
709537947,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),680.0,Non meublé,2,,53 m,Appartement,Rennes,709537947
709711354,Oui,A (moins de 50),35000,B (de 6 &agrave; 10),700.0,Non meublé,3,g1399sb,59 m,Appartement,Rennes,709711354
709531799,,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),740.0,Non meublé,3,,54 m,Appartement,Rennes,709531799
709528587,,Vierge,35000,Vierge,410.0,Non meublé,1,,30 m,Appartement,Rennes,709528587
709525294,,,35000,,452.0,,2,,39 m,Appartement,Rennes,709525294
709523306,,F (de 331 &agrave; 450),35000,F (de 56 &agrave; 80),450.0,Non meublé,1,,35 m,Appartement,Rennes,709523306
709506245,Oui,G (de 451 &agrave; 590),35000,,430.0,Non meublé,1,5161,20 m,Appartement,Rennes,709506245
709503106,,D (de 151 &agrave; 230),35000,D (de 21 &agrave; 35),600.0,Non meublé,3,,60 m,Appartement,Rennes,709503106
709423819,,D (de 151 &agrave; 230),35000,C (de 11 &agrave; 20),590.0,Meublé,3,,59 m,Appartement,Rennes,709423819
709499109,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),562.0,Non meublé,3,alma,62 m,Appartement,Rennes,709499109
706739062,,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),448.0,,2,,48 m,Appartement,Rennes,706739062
709489583,,B (de 51 &agrave; 90),35000,C (de 11 &agrave; 20),704.0,Non meublé,2,,46 m,Appartement,Rennes,709489583
709842961,Oui,C (de 91 &agrave; 150),35000,A (moins de 5),692.0,Non meublé,2,ofw-12517-13580-f,50 m,Appartement,Rennes,709842961
709478633,,A (moins de 50),35000,B (de 6 &agrave; 10),705.0,Non meublé,3,,60 m,Appartement,Rennes,709478633
709540514,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),690.0,Non meublé,3,1011-9_1,67 m,Appartement,Rennes,709540514
709782063,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),799.0,Non meublé,3,15860,78 m,Appartement,Rennes,709782063
709840831,Oui,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),680.0,Non meublé,3,26039_10408690,65 m,Appartement,Rennes,709840831
693685121,Oui,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),349.0,Meublé,1,chbrerennes,13 m,Appartement,Rennes,693685121
668560498,,,35000,,635.0,Meublé,3,,68 m,Appartement,Rennes,668560498
668297177,,,35000,,435.0,Meublé,1,,28 m,Appartement,Rennes,668297177
709599742,Oui,D (de 151 &agrave; 230),35000,,670.0,Non meublé,3,0705-11136,66 m,Appartement,Rennes,709599742
695327259,,C (de 91 &agrave; 150),35000,,615.0,Non meublé,2,,49 m,Appartement,Rennes,695327259
704823461,,D (de 151 &agrave; 230),35000,A (moins de 5),1006.0,Non meublé,5,,104 m,Appartement,Rennes,704823461
709438581,Oui,E (de 231 &agrave; 330),35000,,540.0,Non meublé,2,4589,,Appartement,Rennes,709438581
709840826,Oui,,35000,,570.0,Non meublé,2,2971_10408500,50 m,Appartement,Rennes,709840826
709437415,,,35000,,610.0,Non meublé,2,,45 m,Appartement,Rennes,709437415
709781992,Oui,B (de 51 &agrave; 90),35000,D (de 21 &agrave; 35),595.0,Non meublé,2,13036,50 m,Appartement,Rennes,709781992
709540431,Oui,D (de 151 &agrave; 230),35000,B (de 6 &agrave; 10),475.0,Non meublé,2,12865,35 m,Appartement,Rennes,709540431
709429869,Oui,D (de 151 &agrave; 230),35000,,600.0,Non meublé,4,4072,72 m,Appartement,Rennes,709429869
709438668,Oui,,35000,,815.0,Non meublé,3,g00361284,71 m,Appartement,Rennes,709438668
709842967,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),381.0,Non meublé,1,ofw-16799-13580-e,18 m,Appartement,Rennes,709842967
709435786,Oui,,35000,,452.0,Non meublé,1,g00360661,20 m,Appartement,Rennes,709435786
709421355,Oui,G (de 451 &agrave; 590),35000,,520.0,Non meublé,2,5069,40 m,Appartement,Rennes,709421355
709436180,Oui,,35000,,560.0,Non meublé,2,g00360935,40 m,Appartement,Rennes,709436180
664082612,Non,C (de 91 &agrave; 150),35000,,420.0,Non meublé,,,29 m,Appartement,Rennes,664082612
709435747,Oui,G (de 451 &agrave; 590),35000,,530.0,Non meublé,4,5022,,Appartement,Rennes,709435747
709438678,Oui,,35000,,733.0,Non meublé,3,g00360746,65 m,Appartement,Rennes,709438678
709435751,Oui,C (de 91 &agrave; 150),35000,,375.0,Non meublé,1,4260,30 m,Appartement,Rennes,709435751
709441318,Oui,A (moins de 50),35000,,490.0,Non meublé,2,5104,43 m,Appartement,Rennes,709441318
709415013,,D (de 151 &agrave; 230),35000,E (de 36 &agrave; 55),560.0,Non meublé,2,,35 m,Appartement,Rennes,709415013
709433044,Oui,,35000,,330.0,Non meublé,1,g00361328,20 m,Appartement,Rennes,709433044
709436153,Oui,,35000,,681.0,Non meublé,3,g00360763,65 m,Appartement,Rennes,709436153
709438654,Oui,,35000,,1320.0,Non meublé,5,g00360721,97 m,Appartement,Rennes,709438654
709430218,Oui,G (de 451 &agrave; 590),35000,,590.0,Non meublé,2,4939,46 m,Appartement,Rennes,709430218
709435753,Oui,G (de 451 &agrave; 590),35000,,510.0,Non meublé,1,4911,30 m,Appartement,Rennes,709435753
709714906,Oui,E (de 231 &agrave; 330),35000,C (de 11 &agrave; 20),390.0,Non meublé,1,2297,14 m,Appartement,Rennes,709714906
709435746,Oui,B (de 51 &agrave; 90),35000,,400.0,Non meublé,1,4262,40 m,Appartement,Rennes,709435746
709405482,,C (de 91 &agrave; 150),35000,D (de 21 &agrave; 35),520.0,Meublé,2,,30 m,Appartement,Rennes,709405482
709848532,Oui,D (de 151 &agrave; 230),35000,G (de 81 &agrave; 110),700.0,Non meublé,3,fl0420091,69 m,Appartement,Rennes,709848532
709432578,Oui,C (de 91 &agrave; 150),35000,,690.0,Non meublé,4,4845,76 m,Appartement,Rennes,709432578
