,Nom,Prix(€),Informations Supplementaires,Reference url
39,Arctic F8 PWM - 80 mm - Noir,4.99,Ventilateur boitier - PWM - 300 à 2000 RPM - 23 dB - 31 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20007479.html
40,Arctic F8 Silent - 80 mm - Noir,4.99,Ventilateur boitier - 1200 RPM - 20.5 dB - 15.1 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20007921.html
41,Arctic F9 - 92 mm - Noir,5.99,Ventilateur boitier - 1800 RPM - 23.5 dB - 43 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20006873.html
42,Arctic F9 PWM PST - 92 mm - Noir,5.99,Ventilateur boitier - PWM - 150 à 1800 RPM - 23.5 dB - 43 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20007478.html
43,Arctic P12 PWM PST - Blanc,6.99,"Ventilateur boîtier - PWM - 200 à 1800 RPM - 22,5 dB - 56,3 CFM",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20014031.html
44,Arctic P12 PWM PST - Noir,6.99,"Ventilateur boîtier - PWM - 200 à 1800 RPM - 22,5 dB - 56,3 CFM",https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20014030.html
45,Arctic P12 PWM PST ARGB 0 dB - 120 mm - Blanc,14.99,Ventilateur boitier - PWM - 0 à 2000 RPM - 48.8 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20015359.html
46,Arctic P12 PWM PST ARGB 0dB - 120 mm - Noir,14.99,Ventilateur boitier - PWM - 0 à 2000 RPM - 48.8 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20009326.html
47,Arctic P12 PWM PST ARGB 0dB (Pack de 3) - 120 mm - Blanc,42.99,Ventilateur boitier - PWM - 0 à 2000 RPM - 48.8 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20015360.html
48,Arctic P12 PWM PST ARGB 0dB (Pack de 3) - 120 mm - Noir,42.99,Ventilateur boitier - PWM - 0 à 2000 RPM - 48.8 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20009327.html
49,Arctic P12 PWM PST RGB - 120 mm - Noir,12.99,Ventilateur boitier - PWM - 0 à 2000 RPM - 48.8 CFM,https://www.topachat.com/pages/detail2_cat_est_micro_puis_rubrique_est_w_tu_ven_puis_ref_est_in20009328.html
